 007302b3        add x5 x6 x7
 407302b3        sub x5 x6 x7
 01430293        addi x5 x6 20
 02832283        lw x5 40 x6
  02532423        sw x5 40 x6
  02832283        lw x5 40 x6
  02532423        sw x5 40 x6
  02831283        lh x5 40 x6
  02835283        lhu x5 40 x6
  02531423        sh x5 40 x6
  02830283        lb x5 40 x6
  02834283        lbu x5 40 x6
  02530423        sb x5 40 x6
  123452b7        lui x5 0x12345
  007372b3        and x5 x6 x7
  007362b3        or x5 x6 x7
  007342b3        xor x5 x6 x7
  01437293        andi x5 x6 20
  01436293        ori x5 x6 20
  01434293        xori x5 x6 20
  007312b3        sll x5 x6 x7
  007352b3        srl x5 x6 x7
  407352b3        sra x5 x6 x7
  00331293        slli x5 x6 3
  00335293        srli x5 x6 3
  40335293        srai x5 x6 3
  00628e63        beq x5 x6 28
  00629e63        bne x5 x6 28
  0062ce63        blt x5 x6 28
  0062de63        bge x5 x6 28
  0062ee63        bltu x5 x6 28
  0062fe63        bgeu x5 x6 28
  01c000ef        jal x1 28
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
  00000013        addi x0 x0 0
